grad,F,P,R,broj_prijava,broj_obveznika
Pećinci,23.820999999999998,756.0,1.3,"23,490","11,773"
Pirot,37.001999999999995,1.19,1.9280000000000002,"239,551","31,806"
Plandište,15.05,317.0,242.0,"16,172","7,644"
Požarevac,60.122,3.2510000000000003,1.65,"51,832","30,307"
Požega,26.253,717.0,1.014,"39,670","19,387"
Preševo,11.806,448.0,381.0,"8,652","7,798"
Priboj,15.505999999999998,409.0,1.2890000000000001,"10,579","9,027"
Prijepolje,19.015,1.068,3.3280000000000003,"24,817","14,212"
Prokuplje,30.397,1.291,1.4909999999999999,"41,318","20,469"
Rača,10.054,135.0,393.0,"62,884","6,579"
Raška,18.787,3.213,2.78,"28,024","12,795"
Ražanj,8.666,168.0,450.0,"14,647","6,009"
Rekovac,11.462,177.0,148.0,"17,311","7,602"
Ruma,56.754,1.5,1.2209999999999999,"48,452","25,408"
Senta,27.75,1.416,447.0,"22,624","14,337"
Sečanj,18.813,261.0,436.0,"15,168","8,630"
Sjenica,17.723,287.0,723.0,"29,592","14,254"
Smederevo,48.126999999999995,2.1630000000000003,1.033,"100,209","38,946"
Smederevska Palanka,34.232,1.099,3.222,"45,586","23,457"
Sokobanja,14.793,664.0,2.22,"9,509","7,989"
Sombor,74.484,2.209,2.395,"139,786","47,924"
Srbobran,19.083,288.0,487.0,"18,019","9,499"
Sremska Mitrovica,69.933,3.37,1.786,"70,473","40,427"
Sremski Karlovci,12.328,191.0,814.0,"12,067","5,906"
Stara Pazova,60.678000000000004,2.377,2.725,"44,560","27,952"
Subotica,129.694,11.539000000000001,4.276,"133,805","69,046"
Surdulica,19.833,863.0,1.9569999999999999,"39,107","16,705"
Svilajnac,27.021,1.178,1.992,"115,507","13,851"
Svrljig,14.373,324.0,524.0,"8,438","6,774"
Temerin,21.724,1.3230000000000002,931.0,"18,325","11,124"
Titel,16.718,317.0,343.0,"15,624","9,209"
Topola,22.066999999999997,548.0,785.0,"26,965","13,280"
Trgovište,3.887,119.0,1.34,"1,017",952
Trstenik,34.539,1.83,1.371,"52,808","22,027"
Tutin,16.107,812.0,1.0959999999999999,"19,817","11,050"
Ub,19.637,642.0,1.7209999999999999,"20,432","13,088"
Užice,53.916000000000004,2.6430000000000002,2.0340000000000003,"64,720","34,509"
Valjevo,68.405,5.003,4.448,"66,502","38,885"
Varvarin,14.33,385.0,463.0,"17,132","8,869"
Velika Plana,33.17,726.0,1.272,"141,037","21,964"
Veliko Gradište,18.383,761.0,602.0,"30,539","11,276"
Vladimirci,16.033,249.0,1.126,"21,906","10,708"
Vladičin Han,13.127,389.0,2.6289999999999996,"9,332","7,960"
Vlasotince,17.722,218.0,279.0,"15,207","10,443"
Vranje,36.574,2.688,2.7939999999999996,"32,923","25,572"
Vrbas,37.609,1.219,554.0,"33,514","20,290"
